12531327;БЛОКИ YTONG 625Х250Х75 D500;72968;2019;Ноябрь
12095334;Профиль ПП 60х27мм L3м КНАУФ;72966;2019;Октябрь
18478820;Пескобетон М 300, 40 кг;72800;2019;Июль
12095334;Профиль ПП 60х27мм L3м КНАУФ;72420;2019;Июль
13401153;Наливной пол Юнис Горизонт Универс. 20кг;72080;2019;Июль
12593034;ЛЦ ГИПСОКАРТОН 2500 1200 12,5;71684;2019;Август
13922864;Шпатлевка гипс. Старатели Финишная 20кг;70414;2019;Июль
10072745;ГСП-Н2 КНАУФ 2500х1200х12,5мм (влагост.);69963;2019;Октябрь
17115461;Мастика битумная Изол.Империал,13л;69812;2019;Июль
12095334;Профиль ПП 60х27мм L3м КНАУФ;69019;2019;Март
10074281;Клей для плитки КНАУФ Флизен 25кг;68970;2019;Сентябрь
10074281;Клей для плитки КНАУФ Флизен 25кг;68444;2019;Декабрь
12756948;Профиль ПС 50х50мм L3м КНАУФ;68342;2019;Июль
12627951;СУХАЯ СМЕСЬ УНИВЕРСАЛЬНАЯ М-150 25КГ;68082;2019;Апрель
12756921;Профиль ПН 50х40мм L3м КНАУФ;67110;2019;Март
15095305;ШПАКЛЕВКА ПОЛИМЕР.WEBER.VETONIT LR  20КГ;66685;2019;Октябрь
12085179;ШПАКЛЕВКА Д/ШВОВ КНАУФ УНИФЛОТ 25КГ;66678;2019;Март
12095326;Профиль ППН 28х27мм L3м КНАУФ;66262;2019;Декабрь
15147427;Шпаклевка полимерная AXTON 25кг;65520;2019;Апрель
18700540;МЕШОК Д/МУСОР ТКАН/ПРОПИЛЕН.950Х550 50шт;65500;2019;Январь
15058563;ШПАКЛЕВКА ФИНИШ.РОТБАНД ПАСТА ПРОФИ 18КГ;65288;2019;Февраль
17043293;Наливной пол Боларс СВ-1010 20 кг;64768;2019;Июль
81963566;Цемент ExtraCEM 500 Holcim, 50 кг;63874;2019;Ноябрь
12531431;БЛОКИ YTONG 625Х250Х100 D500;63829;2019;Май
12639223;Штукатурка гипс. Юнис Теплон белый 30кг;63755;2019;Февраль
10072681;ГСП-А КНАУФ 2500х1200х12,5мм (стандарт.);63100;2019;Июль
13606458;Клей д/плитки усиленный Флизен-Плюс 25кг;63033;2019;Июль
10072681;ГСП-А КНАУФ 2500х1200х12,5мм (стандарт.);63020;2019;Апрель
10074281;Клей для плитки КНАУФ Флизен 25кг;62480;2019;Апрель
11313264;Штукатурка гипсовая Волма-Слой 30кг;62475;2019;Ноябрь
81963566;Цемент ExtraCEM 500 Holcim, 50 кг;62238;2019;Март
10072745;ГСП-Н2 КНАУФ 2500х1200х12,5мм (влагост.);61681;2019;Январь
18630553;Плита потолочная TRENTO AMF 13 мм (18 шт;61344;2019;Декабрь
18304521;Профиль  ПН-2  50х40x3000 STANDERS;61288;2019;Июнь
18303587;XPS RAVATHERM standard 1185x585x100мм;61026;2019;Ноябрь
82097207;Тепло и Тихо Стена Плюс 50/610x1000/Е/К;60700;2019;Март
12756884;Грунтовка Тифенгрунд 10 л;60646;2019;Сентябрь
14306705;Вышка-тура сталь окр. УЛТ-60 высота 2,6м;60612;2019;Август
14250959;AXTON Бетонконтакт, 12кг;60380;2019;Июль
81952505;ГОТОВАЯ ШПАКЛ.WEBER.VETONIT PASTA 18 КГ;60372;2019;Декабрь
18303587;XPS RAVATHERM standard 1185x585x100мм;60335;2019;Август
10072745;ГСП-Н2 КНАУФ 2500х1200х12,5мм (влагост.);60283;2019;Декабрь
10074281;Клей для плитки КНАУФ Флизен 25кг;60208;2019;Май
12095334;Профиль ПП 60х27мм L3м КНАУФ;59985;2019;Январь
18304555;Профиль  ППН-27х28x3000 STANDERS;59800;2019;Декабрь
18580189;Наливной пол Быстротвердеющий 20 кг;59280;2019;Март
18580189;Наливной пол Быстротвердеющий 20 кг;59048;2019;Октябрь
15058563;ШПАКЛЕВКА ФИНИШ.РОТБАНД ПАСТА ПРОФИ 18КГ;58592;2019;Март
14250932;AXTON Бетонконтакт, 18кг;58512;2019;Апрель
17253291;Наливной пол PERFEKTA Лайтслой 20кг;58509;2019;Август
18304547;Профиль  ПП-60х27x3000 STANDERS;57955;2019;Август
12747195;XPS URSA 50х1180х600;57903;2019;Октябрь
14609301;Мешки для мусора 55х95см, 10шт.;57788;2019;Июнь
13857214;Штукатурка цементная AXTON 25 кг;57616;2019;Июнь
15058563;ШПАКЛЕВКА ФИНИШ.РОТБАНД ПАСТА ПРОФИ 18КГ;56491;2019;Апрель
13376752;Труба профильная 40х20х3000 мм;56403;2019;Июль
12756948;Профиль ПС 50х50мм L3м КНАУФ;56158;2019;Февраль
10074281;Клей для плитки КНАУФ Флизен 25кг;56037;2019;Июнь
14609301;Мешки для мусора 55х95см, 10шт.;55950;2019;Ноябрь
10074281;Клей для плитки КНАУФ Флизен 25кг;55928;2019;Март
14609301;Мешки для мусора 55х95см, 10шт.;55605;2019;Октябрь
13857185;Штукатурка гипсовая AXTON 30кг;55468;2019;Июль
18304521;Профиль  ПН-2  50х40x3000 STANDERS;55257;2019;Март
12593034;ЛЦ ГИПСОКАРТОН 2500 1200 12,5;54516;2019;Сентябрь
14250932;AXTON Бетонконтакт, 18кг;53424;2019;Март
12593034;ЛЦ ГИПСОКАРТОН 2500 1200 12,5;53336;2019;Июнь
10072745;ГСП-Н2 КНАУФ 2500х1200х12,5мм (влагост.);53118;2019;Июль
12593034;ЛЦ ГИПСОКАРТОН 2500 1200 12,5;53098;2019;Октябрь
16126450;Профиль маячковый 6мм 3м ПРЕМИУМ;52885;2020;Январь
10072681;ГСП-А КНАУФ 2500х1200х12,5мм (стандарт.);52456;2019;Февраль
15143311;Касcета AP600 А6 Tegular/Т24 белая стал;52398;2019;Май
82456045;Портландцемент ЦЕМ II/А-И 42.5, 50 кг;52215;2019;Декабрь
11334815;ПГП 667Х500Х80ММ ПУСТОТЕЛАЯ;52172;2019;Май
18580189;Наливной пол Быстротвердеющий 20 кг;52043;2019;Июнь
13401153;Наливной пол Юнис Горизонт Универс. 20кг;51792;2019;Май
81927885;NEXT АРМОСЛОЙ ЦЕМЕНТ ШТУКАТ. 25 КГ;51695;2019;Октябрь
15058563;ШПАКЛЕВКА ФИНИШ.РОТБАНД ПАСТА ПРОФИ 18КГ;51688;2019;Октябрь
13401153;Наливной пол Юнис Горизонт Универс. 20кг;51542;2019;Июнь
12757510;Грунт д/впитыв основ 10кг CT 17/10;51541;2019;Декабрь
81947724;Штукатурка гипс. Аквагипс влагост. 25 кг;51352;2019;Ноябрь
12095326;Профиль ППН 28х27мм L3м КНАУФ;51292;2019;Сентябрь
11313264;Штукатурка гипсовая Волма-Слой 30кг;51232;2019;Декабрь
12703221;КНАУФ-Суперпол 1200х600х20мм;51102;2019;Сентябрь
13558054;Засыпка керамзитовая, 40 л;50820;2019;Март
18580189;Наливной пол Быстротвердеющий 20 кг;50635;2019;Декабрь
14306705;Вышка-тура сталь окр. УЛТ-60 высота 2,6м;50510;2019;Сентябрь
15467519;Шпаклёвка Weber.vetonit Facade, 20 КГ;50502;2019;Сентябрь
15909292;Наливной пол weber.veton fast level 20кг;50358;2019;Январь
12531431;БЛОКИ YTONG 625Х250Х100 D500;50350;2019;Сентябрь
18701614;Акустическая минплита ШУМАНЕТ СК NЕО 125;50160;2019;Октябрь
12085179;ШПАКЛЕВКА Д/ШВОВ КНАУФ УНИФЛОТ 25КГ;50124;2019;Декабрь
81932798;ПГП 667х500х80 полнотелая влагостойкая;49841;2020;Январь
18303587;XPS RAVATHERM standard 1185x585x100мм;49767;2019;Сентябрь
81947724;Штукатурка гипс. Аквагипс влагост. 25 кг;49668;2019;Апрель
16060307;Керамзит, фр.10-20, 40л;49640;2019;Май
18302162;Шумоизол пан ЗИПС III-Ультра 1,2х0,6м;49632;2019;Январь
18304521;Профиль  ПН-2  50х40x3000 STANDERS;49389;2019;Июль
12095326;Профиль ППН 28х27мм L3м КНАУФ;49249;2019;Апрель
17907590;ШУМОИЗОЛЯЦИЯ ПОЛА ШУМАНЕТ 100 ГИДРО 10М2;49170;2019;Октябрь
12593034;ЛЦ ГИПСОКАРТОН 2500 1200 12,5;48902;2019;Апрель
10072745;ГСП-Н2 КНАУФ 2500х1200х12,5мм (влагост.);48691;2019;Август
18304521;Профиль  ПН-2  50х40x3000 STANDERS;48411;2019;Август
81932798;ПГП 667х500х80 полнотелая влагостойкая;48323;2019;Октябрь
15909313;ШТУК ЦЕМЕНТН WEBER.VETONIT FACADE,25 КГ;47996;2019;Декабрь
18630553;Плита потолочная TRENTO AMF 13 мм (18 шт;47925;2019;Ноябрь
15058563;ШПАКЛЕВКА ФИНИШ.РОТБАНД ПАСТА ПРОФИ 18КГ;47844;2019;Январь
12756921;Профиль ПН 50х40мм L3м КНАУФ;47841;2019;Июль
12686097;Наливной пол Боларс СВ-1030 25кг;47470;2019;Декабрь
15909305;Шпаклевка полимер. weber.vetonit KR 20кг;47078;2019;Октябрь
13922864;Шпатлевка гипс. Старатели Финишная 20кг;46835;2019;Май
13857214;Штукатурка цементная AXTON 25 кг;46384;2019;Февраль
12756921;Профиль ПН 50х40мм L3м КНАУФ;46195;2019;Август
14609301;Мешки для мусора 55х95см, 10шт.;46078;2020;Январь
12756999;Профиль ПС-4 75х50мм L3м КНАУФ;45936;2020;Январь
